benchmark,machine,rid,actual_runtime,predicted_runtime,prediction_error,total_regions,total_selected_regions,average_runtime
lu_C,saphir,26872,420856128229.6,-1,-1,27163,50,22027058.8
lu_C,saphir,544,420856128229.6,-1,-1,27163,50,21921006.8
lu_C,saphir,6194,420856128229.6,-1,-1,27163,50,18246984.0
lu_C,saphir,19701,420856128229.6,-1,-1,27163,50,21791553.8
lu_C,saphir,6542,420856128229.6,-1,-1,27163,50,13145039.6
lu_C,saphir,537,420856128229.6,-1,-1,27163,50,19603440.6
lu_C,saphir,4666,420856128229.6,-1,-1,27163,50,19576140.8
lu_C,saphir,10104,420856128229.6,-1,-1,27163,50,21720671.2
lu_C,saphir,21947,420856128229.6,-1,-1,27163,50,23081249.6
lu_C,saphir,4791,420856128229.6,-1,-1,27163,50,13140425.2
lu_C,saphir,1959,420856128229.6,-1,-1,27163,50,13130478.8
lu_C,saphir,16562,420856128229.6,-1,-1,27163,50,12938880.0
lu_C,saphir,19084,420856128229.6,-1,-1,27163,50,18949045.2
lu_C,saphir,19443,420856128229.6,-1,-1,27163,50,20045510.4
lu_C,saphir,4492,420856128229.6,-1,-1,27163,50,12921436.0
lu_C,saphir,18522,420856128229.6,-1,-1,27163,50,12897872.2
lu_C,saphir,21263,420856128229.6,-1,-1,27163,50,21822766.6
lu_C,saphir,2788,420856128229.6,-1,-1,27163,50,21160131.4
lu_C,saphir,27,420856128229.6,-1,-1,27163,50,13191494.4
lu_C,saphir,12031,420856128229.6,-1,-1,27163,50,17598757.8
lu_C,saphir,14983,420856128229.6,-1,-1,27163,50,21919576.0
lu_C,saphir,8030,420856128229.6,-1,-1,27163,50,20665711.2
lu_C,saphir,15735,420856128229.6,-1,-1,27163,50,18702544.6
lu_C,saphir,10073,420856128229.6,-1,-1,27163,50,19796786.4
lu_C,saphir,5342,420856128229.6,-1,-1,27163,50,13163535.8
lu_C,saphir,27052,420856128229.6,-1,-1,27163,50,20583488.8
lu_C,saphir,13693,420856128229.6,-1,-1,27163,50,13125398.8
lu_C,saphir,25175,420856128229.6,-1,-1,27163,50,19043911.8
lu_C,saphir,7161,420856128229.6,-1,-1,27163,50,20334256.8
lu_C,saphir,17036,420856128229.6,-1,-1,27163,50,17629487.2
lu_C,saphir,1515,420856128229.6,-1,-1,27163,50,19751681.0
lu_C,saphir,5944,420856128229.6,-1,-1,27163,50,21746057.4
lu_C,saphir,18080,420856128229.6,-1,-1,27163,50,12329913.6
lu_C,saphir,26282,420856128229.6,-1,-1,27163,50,20833170.2
lu_C,saphir,20963,420856128229.6,-1,-1,27163,50,19503616.8
lu_C,saphir,9560,420856128229.6,-1,-1,27163,50,21145888.2
lu_C,saphir,9660,420856128229.6,-1,-1,27163,50,19767694.6
lu_C,saphir,15745,420856128229.6,-1,-1,27163,50,19073686.0
lu_C,saphir,25367,420856128229.6,-1,-1,27163,50,13854142.4
lu_C,saphir,26926,420856128229.6,-1,-1,27163,50,20705378.8
lu_C,saphir,16731,420856128229.6,-1,-1,27163,50,21459785.6
lu_C,saphir,-1,420856128229.6,495011025116.63586,17.62001118980507,27163,50,-1.0
mg_C,summer,69,15434287997.8,-1,-1,976,24,14108017.6
